order_purchase_timestamp,order_count
2016-09-15,1
2016-10-03,8
2016-10-04,54
2016-10-05,35
2016-10-06,41
2016-10-07,39
2016-10-08,37
2016-10-09,22
2016-10-10,34
2016-12-23,1
2017-01-05,32
2017-01-06,4
2017-01-07,4
2017-01-08,4
2017-01-09,5
2017-01-10,6
2017-01-11,10
2017-01-12,12
2017-01-13,10
2017-01-14,16
2017-01-15,14
2017-01-16,18
2017-01-17,32
2017-01-18,30
2017-01-19,29
2017-01-20,28
2017-01-21,22
2017-01-22,30
2017-01-23,36
2017-01-24,38
2017-01-25,57
2017-01-26,82
2017-01-27,59
2017-01-28,28
2017-01-29,32
2017-01-30,48
2017-01-31,64
2017-02-01,61
2017-02-02,67
2017-02-03,54
2017-02-04,64
2017-02-05,74
2017-02-06,78
2017-02-07,108
2017-02-08,83
2017-02-09,73
2017-02-10,63
2017-02-11,45
2017-02-12,61
2017-02-13,74
2017-02-14,66
2017-02-15,56
2017-02-16,49
2017-02-17,45
2017-02-18,52
2017-02-19,37
2017-02-20,59
2017-02-21,39
2017-02-22,53
2017-02-23,57
2017-02-24,60
2017-02-25,39
2017-02-26,42
2017-02-27,41
2017-02-28,53
2017-03-01,93
2017-03-02,66
2017-03-03,72
2017-03-04,69
2017-03-05,67
2017-03-06,94
2017-03-07,78
2017-03-08,73
2017-03-09,88
2017-03-10,84
2017-03-11,68
2017-03-12,63
2017-03-13,104
2017-03-14,95
2017-03-15,101
2017-03-16,100
2017-03-17,64
2017-03-18,71
2017-03-19,56
2017-03-20,113
2017-03-21,92
2017-03-22,104
2017-03-23,105
2017-03-24,75
2017-03-25,72
2017-03-26,63
2017-03-27,107
2017-03-28,96
2017-03-29,72
2017-03-30,72
2017-03-31,69
2017-04-01,66
2017-04-02,64
2017-04-03,68
2017-04-04,96
2017-04-05,93
2017-04-06,92
2017-04-07,82
2017-04-08,64
2017-04-09,68
2017-04-10,84
2017-04-11,73
2017-04-12,61
2017-04-13,60
2017-04-14,47
2017-04-15,49
2017-04-16,47
2017-04-17,58
2017-04-18,71
2017-04-19,93
2017-04-20,91
2017-04-21,66
2017-04-22,82
2017-04-23,84
2017-04-24,110
2017-04-25,106
2017-04-26,122
2017-04-27,75
2017-04-28,95
2017-04-29,70
2017-04-30,66
2017-05-01,111
2017-05-02,122
2017-05-03,101
2017-05-04,107
2017-05-05,104
2017-05-06,103
2017-05-07,102
2017-05-08,120
2017-05-09,120
2017-05-10,109
2017-05-11,124
2017-05-12,105
2017-05-13,67
2017-05-14,108
2017-05-15,149
2017-05-16,149
2017-05-17,139
2017-05-18,124
2017-05-19,140
2017-05-20,70
2017-05-21,145
2017-05-22,145
2017-05-23,120
2017-05-24,140
2017-05-25,102
2017-05-26,77
2017-05-27,77
2017-05-28,98
2017-05-29,151
2017-05-30,98
2017-05-31,118
2017-06-01,123
2017-06-02,123
2017-06-03,88
2017-06-04,99
2017-06-05,142
2017-06-06,128
2017-06-07,122
2017-06-08,134
2017-06-09,105
2017-06-10,72
2017-06-11,111
2017-06-12,121
2017-06-13,121
2017-06-14,128
2017-06-15,103
2017-06-16,94
2017-06-17,72
2017-06-18,87
2017-06-19,152
2017-06-20,90
2017-06-21,34
2017-06-22,83
2017-06-23,103
2017-06-24,74
2017-06-25,99
2017-06-26,67
2017-06-27,140
2017-06-28,117
2017-06-29,110
2017-06-30,93
2017-07-01,77
2017-07-02,102
2017-07-03,111
2017-07-04,120
2017-07-05,138
2017-07-06,140
2017-07-07,114
2017-07-08,83
2017-07-09,88
2017-07-10,140
2017-07-11,158
2017-07-12,145
2017-07-13,131
2017-07-14,148
2017-07-15,97
2017-07-16,107
2017-07-17,162
2017-07-18,188
2017-07-19,148
2017-07-20,139
2017-07-21,112
2017-07-22,87
2017-07-23,101
2017-07-24,157
2017-07-25,145
2017-07-26,117
2017-07-27,121
2017-07-28,130
2017-07-29,109
2017-07-30,114
2017-07-31,143
2017-08-01,161
2017-08-02,149
2017-08-03,144
2017-08-04,139
2017-08-05,113
2017-08-06,105
2017-08-07,157
2017-08-08,146
2017-08-09,140
2017-08-10,154
2017-08-11,133
2017-08-12,91
2017-08-13,90
2017-08-14,153
2017-08-15,186
2017-08-16,166
2017-08-17,153
2017-08-18,141
2017-08-19,106
2017-08-20,103
2017-08-21,172
2017-08-22,135
2017-08-23,111
2017-08-24,123
2017-08-25,117
2017-08-26,89
2017-08-27,115
2017-08-28,150
2017-08-29,135
2017-08-30,173
2017-08-31,143
2017-09-01,153
2017-09-02,102
2017-09-03,123
2017-09-04,147
2017-09-05,151
2017-09-06,138
2017-09-07,97
2017-09-08,111
2017-09-09,103
2017-09-10,132
2017-09-11,176
2017-09-12,200
2017-09-13,203
2017-09-14,163
2017-09-15,144
2017-09-16,125
