,index,order_purchase_timestamp,price
0,23464,2016-09-15 12:16:38,44.99
1,23465,2016-09-15 12:16:38,44.99
2,23466,2016-09-15 12:16:38,44.99
3,42794,2016-10-03 09:44:50,29.9
4,61106,2016-10-03 16:56:50,21.9
5,66127,2016-10-03 21:01:41,21.5
6,8582,2016-10-03 21:13:36,36.49
7,62236,2016-10-03 22:06:03,119.9
8,22088,2016-10-03 22:31:31,29.99
9,21439,2016-10-03 22:44:10,128.9
10,65438,2016-10-03 22:51:30,74.9
11,93422,2016-10-04 09:06:10,49.99
12,19437,2016-10-04 09:16:33,32.49
13,24208,2016-10-04 09:59:03,89.9
14,6285,2016-10-04 10:16:04,189.0
15,92444,2016-10-04 10:41:17,199.0
16,60645,2016-10-04 11:03:14,148.0
17,99313,2016-10-04 12:06:11,299.99
18,14087,2016-10-04 12:53:17,9.9
19,103326,2016-10-04 13:11:29,23.9
20,103325,2016-10-04 13:11:29,23.9
21,65621,2016-10-04 13:15:46,249.9
22,103752,2016-10-04 13:15:52,128.9
23,16016,2016-10-04 13:16:57,149.9
24,26658,2016-10-04 13:22:56,67.9
25,4792,2016-10-04 13:30:13,99.9
26,41816,2016-10-04 13:40:43,89.9
27,103140,2016-10-04 13:45:08,379.9
28,45691,2016-10-04 14:13:22,93.9
29,8210,2016-10-04 14:23:50,39.99
30,98052,2016-10-04 14:44:33,249.9
31,55832,2016-10-04 14:49:13,249.9
32,109639,2016-10-04 15:02:53,59.9
33,109640,2016-10-04 15:02:53,59.9
34,41119,2016-10-04 15:07:21,249.9
35,92524,2016-10-04 15:10:15,89.9
36,5411,2016-10-04 15:12:18,69.99
37,89062,2016-10-04 15:35:35,136.9
38,98003,2016-10-04 15:44:44,109.9
39,21325,2016-10-04 16:02:18,89.0
40,59887,2016-10-04 16:05:29,49.9
41,62277,2016-10-04 16:08:52,59.9
42,31150,2016-10-04 16:40:07,59.9
43,48168,2016-10-04 16:41:59,64.9
44,48169,2016-10-04 16:41:59,64.9
45,57062,2016-10-04 17:08:39,57.0
46,42712,2016-10-04 17:25:09,139.9
47,46672,2016-10-04 18:02:37,149.99
48,28370,2016-10-04 18:07:24,99.9
49,97117,2016-10-04 18:52:56,86.99
50,86824,2016-10-04 19:01:13,57.9
51,102278,2016-10-04 19:25:29,949.99
52,37321,2016-10-04 19:30:28,19.99
53,72873,2016-10-04 19:41:52,949.99
54,26220,2016-10-04 20:41:55,149.9
55,83292,2016-10-04 21:25:32,199.99
56,29462,2016-10-04 21:32:35,69.9
57,31968,2016-10-04 21:35:54,399.0
58,8131,2016-10-04 21:54:52,71.0
59,29586,2016-10-04 22:03:46,59.9
60,29587,2016-10-04 22:03:46,59.9
61,22565,2016-10-04 22:15:11,49.9
62,56751,2016-10-04 22:33:44,39.9
63,56750,2016-10-04 22:33:44,39.9
64,90341,2016-10-04 22:43:33,19.9
65,53219,2016-10-04 23:08:08,149.9
66,53220,2016-10-04 23:08:08,149.9
67,96559,2016-10-04 23:26:51,49.9
68,41298,2016-10-04 23:39:01,179.9
69,97244,2016-10-04 23:45:54,44.9
70,24757,2016-10-04 23:59:01,79.9
71,24759,2016-10-04 23:59:01,79.9
72,24758,2016-10-04 23:59:01,79.9
73,24756,2016-10-04 23:59:01,79.9
74,35649,2016-10-05 00:32:31,24.9
75,7786,2016-10-05 07:31:49,75.0
76,88057,2016-10-05 08:01:47,43.89
77,90522,2016-10-05 08:04:21,59.9
78,20000,2016-10-05 08:41:18,119.99
79,109631,2016-10-05 08:46:55,89.9
80,75855,2016-10-05 09:19:46,30.97
